CMIP3,A1B,bccr_bcm2_0,Africa: Sahara,SAH,land, -0.05,-0.02,-0.02,-0.08,-0.05, 2.84,2.48,2.72,3.12,3.07, 
CMIP3,A1B,bccr_bcm2_0,Alaska/NW Canada,ALA,land, 0.23,0.26,0.16,0.19,0.29, 4.11,6.74,3.03,1.99,4.68, 
CMIP3,A1B,bccr_bcm2_0,Australia/North Australia,NAU,land, 0.23,0.26,0.53,0.05,0.09, 2.45,2.29,2.5,2.38,2.62, 
CMIP3,A1B,bccr_bcm2_0,Central America,CAM,land, -0.18,-0.41,-0.19,-0.21,0.09, 2.28,2.25,2.48,2.18,2.21, 
CMIP3,A1B,bccr_bcm2_0,Central Asia,CAS,land, 0.0,0.09,-0.07,0.03,-0.03, 3.11,3.3,3.31,3.23,2.62, 
CMIP3,A1B,bccr_bcm2_0,Central Europe,CEU,land, -0.0,0.27,0.21,-0.33,-0.16, 3.27,3.42,4.16,3.02,2.48, 
CMIP3,A1B,bccr_bcm2_0,Central North America,CNA,land, -0.03,0.12,-0.03,-0.18,-0.03, 3.68,4.22,3.95,3.38,3.17, 
CMIP3,A1B,bccr_bcm2_0,East Africa,EAF,land, 0.09,0.3,0.22,-0.15,-0.0, 2.72,2.83,2.69,2.68,2.69, 
CMIP3,A1B,bccr_bcm2_0,Eastern Asia,EAS,land, 0.18,-0.03,0.16,0.43,0.15, 2.65,2.95,2.77,2.54,2.35, 
CMIP3,A1B,bccr_bcm2_0,Eastern North America,ENA,land, 0.03,0.14,-0.02,-0.11,0.12, 2.76,3.09,2.63,2.67,2.67, 
CMIP3,A1B,bccr_bcm2_0,High-latitudes: Canada/Greenland/Iceland,CGI,land, 0.07,0.02,0.07,0.04,0.14, 2.36,3.62,1.89,1.43,2.48, 
CMIP3,A1B,bccr_bcm2_0,North Asia,NAS,land, 0.22,0.26,0.25,0.11,0.24, 4.25,5.66,4.04,3.13,4.18, 
CMIP3,A1B,bccr_bcm2_0,Northeast Brazil,NEB,land, 0.4,1.4,0.25,0.02,-0.09, 2.45,2.01,2.31,2.56,2.92, 
